age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
33;management;single;tertiary;no;335;no;no;cellular;29;aug;130;4;-1;0;unknown;no
28;technician;single;secondary;no;618;yes;no;cellular;7;may;281;1;-1;0;unknown;no
29;technician;single;tertiary;no;2325;no;no;cellular;2;feb;125;1;-1;0;unknown;yes
36;technician;married;secondary;no;5902;yes;no;unknown;23;may;219;4;-1;0;unknown;no
27;management;single;tertiary;no;390;no;no;cellular;28;oct;190;1;82;1;success;no
42;services;divorced;secondary;no;257;yes;no;cellular;12;may;955;2;-1;0;unknown;yes
38;management;married;tertiary;no;950;no;no;cellular;5;aug;210;2;-1;0;unknown;no
33;technician;divorced;tertiary;no;-386;yes;no;unknown;23;may;530;1;-1;0;unknown;no
33;admin.;married;tertiary;no;69;no;yes;cellular;4;may;77;2;-1;0;unknown;no
57;blue-collar;married;primary;no;93;yes;no;telephone;17;apr;137;1;-1;0;unknown;no
45;blue-collar;single;primary;yes;-183;no;yes;cellular;15;jul;395;4;-1;0;unknown;no
50;admin.;divorced;secondary;no;202;no;yes;cellular;17;nov;148;1;-1;0;unknown;no
46;technician;married;tertiary;no;342;yes;yes;cellular;5;may;84;1;-1;0;unknown;no
38;admin.;married;secondary;no;3732;yes;no;unknown;21;may;379;2;-1;0;unknown;no
59;blue-collar;divorced;secondary;no;3573;no;no;cellular;15;may;44;1;-1;0;unknown;no
39;self-employed;married;secondary;no;266;no;no;cellular;11;may;102;2;-1;0;unknown;no
50;housemaid;single;unknown;no;0;no;no;telephone;28;jul;118;8;-1;0;unknown;no
48;management;married;primary;no;3230;yes;no;telephone;20;nov;207;3;-1;0;unknown;no
51;self-employed;married;tertiary;no;833;no;no;cellular;31;jul;77;3;-1;0;unknown;no
46;management;single;secondary;no;295;yes;no;unknown;23;may;141;6;-1;0;unknown;no
34;entrepreneur;married;secondary;no;456;yes;yes;cellular;28;aug;137;8;-1;0;unknown;no
40;services;single;secondary;no;888;yes;no;unknown;12;may;169;2;-1;0;unknown;no
54;management;married;primary;no;3859;no;yes;cellular;20;nov;104;3;-1;0;unknown;no
69;retired;married;primary;no;279;no;no;telephone;12;aug;26;1;-1;0;unknown;no
28;management;single;tertiary;no;80;no;no;cellular;20;oct;676;2;146;2;failure;yes
55;services;divorced;primary;no;2923;yes;no;unknown;15;may;104;2;-1;0;unknown;no
54;services;married;secondary;no;88;yes;no;unknown;13;may;190;1;-1;0;unknown;no
39;technician;married;secondary;no;501;no;no;unknown;26;may;289;1;-1;0;unknown;no
40;management;married;tertiary;no;-495;no;yes;cellular;29;jul;303;2;-1;0;unknown;no
40;blue-collar;married;secondary;no;0;yes;yes;unknown;29;may;245;3;-1;0;unknown;no
27;services;single;secondary;no;0;yes;no;unknown;7;may;388;7;-1;0;unknown;no
47;technician;married;secondary;no;-75;yes;no;cellular;4;feb;57;1;247;1;other;no
36;services;married;secondary;no;257;yes;no;cellular;12;may;86;2;-1;0;unknown;no
47;technician;divorced;tertiary;no;477;yes;no;telephone;7;may;973;1;366;1;failure;no
30;admin.;married;secondary;no;122;yes;no;unknown;16;may;107;1;-1;0;unknown;no
32;technician;single;tertiary;no;2204;yes;no;cellular;21;nov;11;4;-1;0;unknown;no
31;services;single;secondary;no;0;yes;no;unknown;28;may;231;2;-1;0;unknown;no
48;blue-collar;married;secondary;no;841;yes;no;unknown;19;may;215;1;-1;0;unknown;no
37;management;divorced;secondary;no;1287;yes;no;cellular;14;may;432;1;-1;0;unknown;no
53;admin.;married;secondary;no;1796;no;no;telephone;16;mar;295;1;91;2;success;yes
27;technician;single;secondary;no;282;no;yes;cellular;9;jul;676;5;-1;0;unknown;no
45;management;married;tertiary;no;5450;no;no;cellular;8;aug;188;2;-1;0;unknown;no
31;blue-collar;divorced;secondary;no;6;yes;no;cellular;29;jan;821;1;-1;0;unknown;no
34;technician;married;secondary;no;-346;no;no;cellular;13;aug;136;4;-1;0;unknown;no
31;technician;divorced;secondary;no;10787;yes;no;unknown;4;jun;135;2;-1;0;unknown;no
40;services;married;primary;no;33;no;no;unknown;26;may;70;3;-1;0;unknown;no
36;blue-collar;married;primary;no;49;yes;no;cellular;15;may;232;2;365;5;other;no
50;admin.;divorced;secondary;no;769;no;no;cellular;28;jul;72;2;363;4;failure;no
45;management;married;tertiary;no;-206;yes;no;cellular;6;may;337;2;-1;0;unknown;no
38;entrepreneur;married;tertiary;no;170;yes;no;cellular;18;may;442;1;-1;0;unknown;yes
30;services;single;secondary;no;566;no;no;cellular;5;feb;110;1;-1;0;unknown;no
32;technician;single;secondary;no;0;no;no;cellular;18;aug;594;4;-1;0;unknown;yes
38;technician;married;secondary;no;994;no;no;unknown;9;jun;119;1;-1;0;unknown;no
55;services;married;secondary;no;186;yes;yes;unknown;9;may;241;1;-1;0;unknown;no
29;admin.;single;secondary;no;-194;yes;no;cellular;7;may;127;1;-1;0;unknown;no
40;management;married;tertiary;no;89;yes;yes;telephone;9;feb;148;6;-1;0;unknown;no
46;entrepreneur;married;secondary;no;757;no;no;unknown;16;jun;382;3;-1;0;unknown;no
56;management;married;primary;no;772;yes;no;telephone;20;nov;291;1;-1;0;unknown;no
30;unemployed;married;secondary;no;142;yes;no;unknown;20;may;350;4;-1;0;unknown;no
57;retired;married;primary;no;2927;no;yes;telephone;30;jul;78;5;-1;0;unknown;no
52;entrepreneur;married;secondary;no;0;no;no;cellular;7;aug;82;2;-1;0;unknown;no
33;admin.;married;secondary;no;4902;yes;no;cellular;20;nov;110;1;-1;0;unknown;no
32;management;married;tertiary;no;5878;no;no;cellular;19;aug;159;2;-1;0;unknown;no
33;services;married;secondary;no;478;no;no;cellular;30;apr;475;2;-1;0;unknown;yes
32;management;married;tertiary;no;71;yes;no;cellular;21;jul;221;8;-1;0;unknown;no
39;management;married;tertiary;no;246;no;no;cellular;11;aug;86;2;-1;0;unknown;no
54;retired;married;secondary;no;3671;no;no;unknown;11;jun;67;3;-1;0;unknown;no
48;admin.;married;primary;no;607;no;no;unknown;20;jun;29;2;-1;0;unknown;no
47;technician;married;unknown;no;2106;yes;no;unknown;6;may;168;1;-1;0;unknown;no
39;entrepreneur;married;tertiary;no;2644;yes;no;unknown;20;may;253;1;-1;0;unknown;no
60;housemaid;married;primary;no;0;no;yes;telephone;22;jul;124;1;-1;0;unknown;no
58;management;married;tertiary;no;1517;yes;no;telephone;29;jul;7;5;-1;0;unknown;no
47;admin.;married;secondary;no;1060;yes;no;unknown;6;jun;83;3;-1;0;unknown;no
61;retired;married;primary;no;1060;yes;no;unknown;13;may;118;1;-1;0;unknown;no
41;admin.;married;secondary;no;920;yes;yes;unknown;27;may;239;1;-1;0;unknown;no
26;services;divorced;secondary;no;74;yes;no;unknown;23;may;106;6;-1;0;unknown;no
31;admin.;married;secondary;no;236;yes;yes;telephone;4;may;211;3;-1;0;unknown;no
23;blue-collar;single;primary;no;8627;yes;no;unknown;3;jun;281;1;-1;0;unknown;no
20;student;single;secondary;no;1191;no;no;cellular;12;feb;274;1;-1;0;unknown;no
30;housemaid;single;tertiary;no;868;no;no;cellular;7;aug;387;2;-1;0;unknown;no
35;services;single;secondary;no;414;yes;no;cellular;20;apr;11;5;319;2;other;no
47;self-employed;divorced;secondary;no;8515;yes;no;unknown;20;nov;14;7;112;4;other;no
36;admin.;married;unknown;no;2323;no;no;cellular;19;nov;111;1;-1;0;unknown;no
42;services;divorced;secondary;no;372;yes;yes;unknown;6;may;121;2;-1;0;unknown;no
77;retired;married;primary;no;680;no;no;telephone;24;feb;513;2;89;7;failure;no
34;blue-collar;single;tertiary;no;1011;yes;no;unknown;6;may;136;1;-1;0;unknown;no
32;management;single;tertiary;no;8436;yes;no;cellular;17;apr;245;1;149;2;failure;no
29;technician;married;tertiary;no;43;yes;no;unknown;20;may;68;2;-1;0;unknown;no
76;retired;divorced;primary;no;86;no;no;cellular;12;aug;192;1;-1;0;unknown;no
49;services;married;secondary;no;280;yes;no;telephone;14;jul;162;3;-1;0;unknown;no
45;entrepreneur;married;tertiary;no;0;yes;no;cellular;29;jul;100;3;-1;0;unknown;no
24;student;single;secondary;no;508;yes;no;telephone;18;may;12;3;374;1;other;no
53;technician;married;primary;no;6839;yes;no;cellular;19;nov;77;1;-1;0;unknown;no
49;blue-collar;single;primary;no;2146;yes;no;cellular;7;may;1516;2;353;2;other;yes
36;blue-collar;married;secondary;no;63;yes;no;unknown;2;jun;56;8;-1;0;unknown;no
35;blue-collar;married;primary;no;0;yes;no;cellular;24;jul;90;6;-1;0;unknown;no
46;management;married;tertiary;no;-3;no;no;cellular;28;aug;205;2;-1;0;unknown;no
40;management;single;secondary;no;192;yes;no;unknown;16;may;71;11;-1;0;unknown;no
61;blue-collar;married;primary;no;625;yes;no;unknown;19;may;158;2;-1;0;unknown;no
58;retired;married;secondary;no;3382;no;yes;cellular;28;may;294;2;309;2;failure;no
31;technician;single;unknown;no;187;no;no;cellular;17;jul;86;1;-1;0;unknown;no
47;management;divorced;tertiary;no;1149;no;yes;cellular;15;jul;82;2;-1;0;unknown;no
49;blue-collar;single;primary;no;1040;no;no;cellular;8;jul;474;2;-1;0;unknown;no
47;services;divorced;secondary;no;691;no;no;cellular;6;feb;285;6;-1;0;unknown;no
35;student;single;unknown;no;0;no;no;telephone;28;jan;122;3;-1;0;unknown;no
34;blue-collar;married;secondary;no;-563;yes;no;unknown;26;may;252;1;-1;0;unknown;no
33;management;single;tertiary;no;3170;no;no;cellular;28;oct;246;2;-1;0;unknown;no
56;entrepreneur;married;unknown;no;575;no;no;unknown;20;jun;18;2;-1;0;unknown;no
31;services;single;secondary;no;85;no;no;cellular;16;jul;151;1;-1;0;unknown;no
46;admin.;married;secondary;no;22;yes;no;cellular;7;aug;414;4;-1;0;unknown;no
32;blue-collar;single;secondary;no;-255;no;yes;unknown;2;jul;957;3;-1;0;unknown;no
35;services;married;secondary;no;0;no;yes;telephone;9;jul;42;1;-1;0;unknown;no
60;admin.;married;secondary;no;2552;no;yes;cellular;30;jan;255;2;2;4;other;no
33;management;married;secondary;no;3132;yes;no;unknown;23;may;350;5;-1;0;unknown;no
41;blue-collar;married;primary;no;951;yes;no;cellular;20;apr;23;4;-1;0;unknown;no
43;self-employed;married;secondary;no;104;no;no;unknown;17;jun;332;1;-1;0;unknown;no
31;self-employed;married;secondary;no;33;no;no;cellular;6;aug;165;4;-1;0;unknown;no
48;blue-collar;married;secondary;no;1143;yes;no;cellular;17;apr;264;1;317;1;failure;no
41;technician;married;secondary;no;1066;no;no;cellular;11;feb;109;3;-1;0;unknown;yes
31;admin.;married;secondary;no;3;yes;no;cellular;28;jul;37;12;-1;0;unknown;no
32;management;single;tertiary;no;2343;no;no;cellular;18;jul;226;1;-1;0;unknown;no
47;technician;married;primary;no;145;yes;no;unknown;7;may;157;6;-1;0;unknown;no
54;unknown;married;secondary;no;1157;no;no;cellular;26;may;98;2;-1;0;unknown;no
54;housemaid;divorced;secondary;no;1327;no;no;unknown;5;jun;115;2;-1;0;unknown;no
31;management;single;tertiary;no;112;yes;no;cellular;2;feb;159;2;271;1;failure;no
43;services;married;secondary;no;642;no;no;cellular;31;jul;644;2;-1;0;unknown;no
79;retired;married;primary;no;429;no;no;telephone;8;jul;1006;2;-1;0;unknown;yes
49;unemployed;divorced;tertiary;no;780;no;no;cellular;8;nov;148;1;871;2;failure;no
58;blue-collar;married;primary;no;73;no;no;unknown;17;jun;116;1;-1;0;unknown;no
56;technician;married;tertiary;no;272;no;no;cellular;26;aug;103;2;-1;0;unknown;no
34;self-employed;single;tertiary;no;462;no;no;cellular;21;aug;1877;3;-1;0;unknown;yes
36;blue-collar;divorced;primary;no;117;yes;no;unknown;2;jun;123;4;-1;0;unknown;no
44;services;married;secondary;no;0;yes;yes;cellular;11;may;161;1;-1;0;unknown;no
41;technician;married;secondary;no;902;no;no;unknown;16;jun;35;6;-1;0;unknown;no
35;self-employed;divorced;tertiary;no;1354;yes;no;unknown;23;may;736;2;-1;0;unknown;yes
26;admin.;single;secondary;no;236;yes;yes;cellular;18;may;8;2;-1;0;unknown;no
42;admin.;married;secondary;no;3165;yes;no;unknown;16;jun;298;4;-1;0;unknown;no
53;entrepreneur;married;tertiary;no;22370;yes;no;unknown;15;may;106;1;-1;0;unknown;no
42;technician;single;secondary;no;0;no;no;cellular;21;aug;656;2;-1;0;unknown;no
30;management;married;secondary;no;0;yes;no;cellular;12;may;756;3;-1;0;unknown;no
36;blue-collar;married;primary;no;1925;yes;no;cellular;20;apr;904;2;-1;0;unknown;yes
45;management;married;tertiary;no;1529;no;no;cellular;30;jun;160;1;-1;0;unknown;no
32;blue-collar;single;secondary;no;1670;yes;no;cellular;18;may;183;1;-1;0;unknown;no
24;student;single;secondary;no;822;no;no;cellular;27;oct;184;1;91;2;failure;yes
40;management;married;tertiary;no;60;no;no;unknown;16;jun;172;6;-1;0;unknown;no
43;technician;married;secondary;no;0;no;yes;cellular;8;may;9;2;172;5;failure;no
45;entrepreneur;divorced;tertiary;no;1273;yes;yes;unknown;11;jun;197;3;-1;0;unknown;no
55;management;married;primary;no;229;no;yes;unknown;9;jun;175;3;-1;0;unknown;no
31;services;married;secondary;no;413;yes;no;unknown;13;may;65;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;8309;yes;yes;cellular;19;nov;50;1;-1;0;unknown;no
50;blue-collar;married;primary;no;1164;yes;no;unknown;8;may;166;2;-1;0;unknown;no
40;student;married;secondary;no;260;no;no;unknown;20;jun;197;6;-1;0;unknown;no
30;blue-collar;married;secondary;no;125;yes;no;unknown;29;may;238;2;-1;0;unknown;no
57;retired;divorced;secondary;no;-331;yes;no;unknown;6;may;531;1;-1;0;unknown;no
32;blue-collar;married;secondary;no;101;yes;no;unknown;19;may;191;4;-1;0;unknown;no
40;self-employed;single;tertiary;no;2893;no;no;cellular;2;jun;76;3;-1;0;unknown;no
33;blue-collar;single;secondary;no;5137;yes;no;cellular;6;may;123;1;-1;0;unknown;no
40;entrepreneur;married;tertiary;no;1729;yes;no;cellular;12;may;85;1;-1;0;unknown;no
33;blue-collar;married;tertiary;no;1465;no;no;cellular;19;aug;98;4;-1;0;unknown;no
32;technician;single;secondary;no;0;no;no;cellular;21;aug;126;2;-1;0;unknown;no
52;unemployed;married;primary;no;-110;no;yes;cellular;29;jan;141;1;-1;0;unknown;no
37;blue-collar;married;secondary;no;196;yes;no;unknown;5;jun;66;3;-1;0;unknown;no
40;blue-collar;married;secondary;no;6767;yes;no;cellular;20;nov;97;2;-1;0;unknown;no
56;management;married;tertiary;no;334;yes;no;unknown;15;may;127;2;-1;0;unknown;no
36;admin.;married;secondary;no;-423;yes;yes;unknown;13;may;106;1;-1;0;unknown;no
30;technician;married;secondary;no;-393;yes;yes;cellular;16;jul;435;1;-1;0;unknown;yes
30;services;divorced;secondary;no;0;yes;no;cellular;13;may;172;1;-1;0;unknown;no
41;management;married;tertiary;no;326;yes;no;cellular;5;may;788;1;-1;0;unknown;yes
34;management;married;tertiary;no;4170;yes;no;unknown;21;may;935;1;-1;0;unknown;no
58;management;married;tertiary;no;172;no;no;cellular;19;aug;145;7;-1;0;unknown;no
34;technician;single;secondary;no;440;yes;no;cellular;6;may;445;2;345;2;failure;no
30;admin.;married;tertiary;no;400;yes;no;cellular;7;may;223;1;-1;0;unknown;no
31;technician;married;secondary;no;0;no;yes;cellular;15;jul;624;6;-1;0;unknown;no
35;management;married;tertiary;no;1100;no;yes;cellular;29;jan;127;2;-1;0;unknown;no
29;blue-collar;married;secondary;no;228;yes;no;cellular;11;may;12;8;342;9;failure;no
28;blue-collar;married;secondary;no;2788;yes;no;unknown;6;jun;369;2;-1;0;unknown;yes
52;blue-collar;married;secondary;no;-98;yes;no;unknown;7;may;423;1;-1;0;unknown;no
30;admin.;single;secondary;no;105;yes;no;cellular;21;nov;75;1;-1;0;unknown;no
32;management;married;tertiary;no;3107;yes;yes;cellular;25;jul;310;1;-1;0;unknown;no
28;management;married;tertiary;no;318;yes;no;unknown;27;may;4;4;-1;0;unknown;no
26;admin.;married;tertiary;no;2855;no;no;cellular;30;mar;52;3;-1;0;unknown;no
40;technician;single;tertiary;no;445;yes;no;cellular;24;jul;631;1;-1;0;unknown;no
36;technician;married;secondary;no;146;yes;yes;unknown;15;may;284;2;-1;0;unknown;no
25;services;single;secondary;no;-352;no;no;cellular;15;jul;246;1;-1;0;unknown;no
38;services;married;secondary;no;-140;no;no;unknown;25;jun;456;3;-1;0;unknown;no
40;admin.;single;secondary;no;2378;yes;no;unknown;2;jun;65;1;-1;0;unknown;no
60;technician;married;primary;no;65;yes;no;unknown;9;may;1028;2;-1;0;unknown;yes
34;self-employed;married;tertiary;no;1972;yes;no;cellular;23;jul;61;2;-1;0;unknown;no
54;retired;married;primary;no;208;no;no;unknown;12;may;255;1;-1;0;unknown;no
44;services;married;secondary;no;1989;yes;yes;cellular;20;apr;106;2;-1;0;unknown;no
60;admin.;married;secondary;no;3043;no;no;cellular;19;aug;235;3;-1;0;unknown;no
37;blue-collar;single;secondary;no;3561;yes;no;unknown;2;jun;98;1;-1;0;unknown;no
43;blue-collar;married;secondary;no;699;yes;yes;cellular;20;nov;1258;2;122;2;other;yes
38;blue-collar;married;primary;no;168;yes;yes;telephone;13;may;212;3;-1;0;unknown;no
32;management;single;tertiary;no;347;yes;no;cellular;18;may;213;1;264;6;failure;no
46;management;divorced;tertiary;no;743;no;no;unknown;5;jun;36;2;-1;0;unknown;no
50;blue-collar;married;secondary;no;606;yes;no;unknown;14;may;673;2;-1;0;unknown;no
30;blue-collar;single;secondary;no;445;yes;no;cellular;16;apr;218;1;330;2;failure;no
39;management;married;tertiary;no;278;no;yes;cellular;28;jul;60;3;-1;0;unknown;no
46;blue-collar;married;secondary;no;781;no;no;unknown;13;may;152;1;-1;0;unknown;no
59;retired;married;secondary;no;0;no;no;unknown;5;jun;812;1;-1;0;unknown;yes
31;admin.;divorced;secondary;no;360;no;no;cellular;15;may;332;1;297;2;other;no
30;technician;single;tertiary;no;985;yes;no;cellular;19;feb;88;2;-1;0;unknown;no
33;entrepreneur;married;tertiary;no;595;no;no;cellular;7;aug;22;2;-1;0;unknown;no
35;management;married;tertiary;no;2793;no;no;cellular;20;nov;258;2;-1;0;unknown;no
44;blue-collar;married;secondary;no;788;yes;no;cellular;17;apr;392;1;-1;0;unknown;no
38;technician;single;secondary;no;173;no;no;cellular;29;aug;150;4;-1;0;unknown;no
38;blue-collar;married;secondary;no;0;yes;no;cellular;13;may;57;5;349;1;other;no
44;blue-collar;married;primary;no;887;yes;no;cellular;12;may;165;2;363;1;failure;no
63;retired;married;secondary;no;415;yes;no;cellular;7;oct;323;1;-1;0;unknown;no
27;services;single;secondary;no;259;yes;no;unknown;23;may;78;10;-1;0;unknown;no
37;management;single;unknown;no;504;yes;no;cellular;16;apr;555;1;-1;0;unknown;no
32;blue-collar;single;secondary;no;2285;yes;no;unknown;14;may;413;2;-1;0;unknown;no
39;unknown;single;secondary;no;914;no;no;unknown;5;jun;20;1;-1;0;unknown;no
58;retired;married;secondary;no;235;no;no;cellular;27;aug;88;4;-1;0;unknown;no
40;technician;married;secondary;no;1819;no;no;cellular;5;jun;398;2;-1;0;unknown;no
47;blue-collar;married;secondary;yes;-614;yes;no;unknown;26;may;118;2;-1;0;unknown;no
33;services;married;primary;no;0;yes;no;cellular;18;jul;351;2;-1;0;unknown;no
52;services;divorced;secondary;no;238;yes;no;cellular;6;may;101;1;362;5;other;no
51;management;single;tertiary;no;2139;no;no;cellular;17;nov;176;2;-1;0;unknown;no
27;services;married;secondary;no;-1202;yes;no;unknown;4;jun;749;2;-1;0;unknown;no
26;housemaid;married;secondary;no;-759;yes;no;cellular;11;jul;191;1;-1;0;unknown;no
38;blue-collar;married;secondary;no;-388;yes;no;unknown;9;may;412;1;-1;0;unknown;no
35;unemployed;married;secondary;no;978;no;no;cellular;29;dec;1370;3;209;3;success;yes
44;self-employed;single;tertiary;no;2734;yes;no;cellular;12;may;897;4;-1;0;unknown;yes
84;retired;divorced;primary;no;639;no;no;telephone;18;may;353;3;-1;0;unknown;yes
48;technician;married;secondary;no;568;yes;no;cellular;2;sep;378;2;386;1;success;yes
25;technician;single;secondary;no;959;no;no;cellular;9;jul;144;5;-1;0;unknown;no
35;blue-collar;married;secondary;no;407;yes;no;cellular;20;apr;12;6;-1;0;unknown;no
58;housemaid;married;primary;no;0;yes;no;telephone;9;jul;148;1;-1;0;unknown;no
43;technician;married;secondary;no;-932;yes;no;cellular;16;apr;567;1;-1;0;unknown;no
30;admin.;married;secondary;no;11;yes;no;cellular;11;may;157;1;-1;0;unknown;no
40;management;married;unknown;no;419;yes;no;cellular;10;jul;347;1;-1;0;unknown;no
35;housemaid;married;tertiary;no;11219;no;no;cellular;12;aug;699;2;79;1;failure;no
32;self-employed;married;tertiary;no;3601;no;no;cellular;22;aug;171;15;-1;0;unknown;no
55;technician;married;secondary;no;0;yes;no;unknown;30;may;119;2;-1;0;unknown;no
38;blue-collar;married;secondary;no;526;yes;yes;unknown;23;may;553;2;-1;0;unknown;no
29;technician;single;tertiary;no;2485;no;no;telephone;24;jul;48;6;-1;0;unknown;no
46;housemaid;married;primary;no;0;no;no;telephone;2;feb;161;1;-1;0;unknown;no
56;housemaid;married;tertiary;no;1922;yes;no;cellular;24;jul;247;2;-1;0;unknown;no
47;admin.;married;secondary;no;1934;no;yes;cellular;14;may;225;1;364;1;failure;no
60;management;single;tertiary;no;0;no;yes;cellular;23;jul;151;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;67;yes;yes;unknown;8;may;672;3;-1;0;unknown;no
25;admin.;married;secondary;no;242;yes;no;cellular;30;jul;62;12;-1;0;unknown;no
23;student;single;secondary;no;9216;no;no;cellular;5;jun;471;2;-1;0;unknown;no
64;retired;married;unknown;no;2923;no;no;cellular;12;mar;120;1;-1;0;unknown;no
37;admin.;single;secondary;no;0;yes;no;cellular;16;apr;640;2;-1;0;unknown;no
38;admin.;married;secondary;no;1852;yes;no;cellular;15;may;298;2;-1;0;unknown;no
53;blue-collar;married;secondary;no;25;no;no;cellular;22;aug;528;2;-1;0;unknown;yes
